Ticket_ID,Created_At,Channel,Response_Time_Minutes,Resolution_Time_Minutes,CSAT_Score,Issue_Type,Daily_Ticket_Count
T0272,21-03-2025,LiveAgent,7,127,4,Payment problem,8
T0273,03-01-2025,LiveAgent,12,156,5,Ride cancellation,14
T0274,20-01-2025,Chatbot,15,73,5,Ride cancellation,8
T0275,24-01-2025,Chatbot,25,100,3,Lost item,17
T0276,23-02-2025,LiveAgent,5,126,2,Driver issue,12
T0277,02-02-2025,LiveAgent,15,107,5,Account access,20
T0278,24-01-2025,LiveAgent,8,20,4,Lost item,17
T0279,16-03-2025,LiveAgent,10,63,4,Lost item,17
T0280,13-03-2025,LiveAgent,26,56,5,Ride cancellation,9
T0281,05-02-2025,LiveAgent,16,149,2,Ride cancellation,13
T0282,07-02-2025,LiveAgent,8,158,4,Account access,12
T0283,25-03-2025,LiveAgent,1,148,2,Payment problem,11
T0284,30-03-2025,LiveAgent,12,14,4,Payment problem,14
T0285,25-01-2025,LiveAgent,5,29,5,Lost item,10
T0286,18-01-2025,Chatbot,3,178,4,App crash,9
T0287,23-03-2025,LiveAgent,1,55,5,App crash,7
T0288,07-03-2025,Chatbot,4,21,4,Payment problem,10
T0289,23-02-2025,Chatbot,8,79,3,App crash,12
T0290,04-02-2025,LiveAgent,3,26,3,Payment problem,12
T0291,21-03-2025,Chatbot,10,124,4,Ride cancellation,8
T0292,02-03-2025,Chatbot,2,156,4,Lost item,12
T0293,10-02-2025,Chatbot,11,163,2,Driver issue,5
T0294,02-02-2025,Chatbot,25,57,4,Lost item,20
T0295,09-03-2025,LiveAgent,10,117,4,Payment problem,6
T0296,02-02-2025,Chatbot,21,61,4,Payment problem,20
T0297,14-01-2025,Chatbot,14,105,4,Lost item,11
T0298,21-01-2025,Chatbot,7,79,4,Account access,11
T0299,17-02-2025,LiveAgent,27,111,1,Payment problem,11
T0300,20-01-2025,LiveAgent,27,84,3,App crash,8
T0301,08-01-2025,Chatbot,2,170,4,App crash,15
T0302,07-01-2025,Chatbot,9,160,4,Payment problem,8
T0303,08-03-2025,Chatbot,16,152,1,Payment problem,10
T0304,17-01-2025,LiveAgent,13,164,5,Account access,16
T0305,02-02-2025,LiveAgent,9,91,5,App crash,20
T0306,17-02-2025,Chatbot,20,101,4,Payment problem,11
T0307,17-03-2025,Chatbot,4,13,2,Payment problem,9
T0308,28-02-2025,Chatbot,22,144,5,Account access,12
T0309,27-03-2025,LiveAgent,10,118,4,Account access,15
T0310,22-01-2025,Chatbot,26,172,5,Lost item,8
T0311,30-01-2025,Chatbot,26,57,5,Account access,10
T0312,07-02-2025,Chatbot,22,82,5,Driver issue,12
T0313,20-02-2025,Chatbot,12,81,4,App crash,15
T0314,23-02-2025,LiveAgent,17,125,2,Lost item,12
T0315,08-01-2025,Chatbot,14,90,4,Driver issue,15
T0316,27-01-2025,LiveAgent,14,90,4,Payment problem,11
T0317,27-01-2025,LiveAgent,25,122,4,Payment problem,11
T0318,21-01-2025,Chatbot,2,105,3,Lost item,11
T0319,30-01-2025,Chatbot,21,81,3,Account access,10
T0320,28-01-2025,LiveAgent,25,156,5,Payment problem,10
T0321,05-03-2025,Chatbot,20,72,4,Ride cancellation,13
T0322,10-03-2025,Chatbot,11,47,5,Lost item,13
T0323,02-03-2025,LiveAgent,16,76,5,Driver issue,12
T0324,17-02-2025,Chatbot,19,78,4,Lost item,11
T0325,19-01-2025,Chatbot,23,22,4,App crash,15
T0326,04-01-2025,Chatbot,6,40,5,Account access,13
T0327,04-02-2025,LiveAgent,24,123,4,Account access,12
T0328,05-03-2025,Chatbot,19,31,4,Lost item,13
T0329,18-02-2025,Chatbot,5,102,3,Payment problem,10
T0330,17-01-2025,Chatbot,26,76,4,Payment problem,16
T0331,13-02-2025,Chatbot,4,63,4,Ride cancellation,12
T0332,30-01-2025,Chatbot,15,147,3,Ride cancellation,10
T0333,15-02-2025,Chatbot,29,51,3,Account access,7
T0334,06-01-2025,Chatbot,4,73,3,Ride cancellation,12
T0335,06-02-2025,Chatbot,20,135,3,Driver issue,8
T0336,24-01-2025,Chatbot,10,30,3,Ride cancellation,17
T0337,15-02-2025,Chatbot,24,178,4,Driver issue,7
T0338,22-02-2025,Chatbot,22,161,5,Ride cancellation,12
T0339,01-03-2025,Chatbot,3,44,4,Account access,13
T0340,04-03-2025,LiveAgent,26,39,3,Account access,14
T0341,26-03-2025,Chatbot,5,66,2,Driver issue,8
T0342,01-02-2025,Chatbot,6,56,4,Lost item,12
T0343,28-03-2025,Chatbot,21,172,4,Account access,10
T0344,02-02-2025,LiveAgent,22,28,5,Lost item,20
T0345,08-03-2025,LiveAgent,8,123,4,Payment problem,10
T0346,18-01-2025,Chatbot,7,17,5,Driver issue,9
T0347,25-01-2025,Chatbot,21,35,3,Account access,10
T0348,23-02-2025,LiveAgent,10,122,4,App crash,12
T0349,27-02-2025,Chatbot,6,80,3,Payment problem,15
T0350,08-03-2025,Chatbot,14,39,5,Lost item,10
T0351,15-02-2025,Chatbot,4,144,4,Account access,7
T0352,24-01-2025,Chatbot,28,76,3,Driver issue,17
T0353,01-02-2025,LiveAgent,25,74,3,Ride cancellation,12
T0354,16-02-2025,LiveAgent,13,45,3,App crash,13
T0355,27-03-2025,Chatbot,20,34,4,Lost item,15
T0356,23-01-2025,Chatbot,17,46,3,Payment problem,14
T0357,07-03-2025,LiveAgent,23,10,4,Driver issue,10
T0358,27-01-2025,LiveAgent,7,152,3,App crash,11
T0359,02-01-2025,LiveAgent,4,46,4,Driver issue,15
T0360,31-03-2025,LiveAgent,29,150,5,Account access,21
T0361,17-01-2025,LiveAgent,14,145,5,Ride cancellation,16
T0362,02-02-2025,LiveAgent,3,142,5,Payment problem,20
T0363,09-01-2025,Chatbot,24,137,3,Driver issue,13
T0364,12-02-2025,Chatbot,5,136,2,Lost item,5
T0365,17-02-2025,LiveAgent,16,10,4,Account access,11
T0366,08-02-2025,Chatbot,26,173,4,Account access,12
T0367,11-02-2025,LiveAgent,23,44,4,Payment problem,10
T0368,26-01-2025,Chatbot,20,113,1,Account access,12
T0369,19-02-2025,Chatbot,4,32,3,Lost item,11
T0370,25-01-2025,Chatbot,24,18,1,Driver issue,10
T0371,24-01-2025,Chatbot,24,43,5,Payment problem,17
T0372,13-01-2025,LiveAgent,2,137,3,Account access,11
T0373,01-03-2025,LiveAgent,18,13,4,Account access,13
T0374,07-01-2025,LiveAgent,19,167,1,Lost item,8
T0375,26-02-2025,LiveAgent,28,111,4,Ride cancellation,10
T0376,05-02-2025,Chatbot,28,84,3,Ride cancellation,13
T0377,14-02-2025,Chatbot,19,108,5,Account access,10
T0378,20-01-2025,Chatbot,17,81,5,Driver issue,8
T0379,06-03-2025,Chatbot,14,12,3,Payment problem,9
T0380,08-01-2025,Chatbot,19,151,5,Account access,15
T0381,16-01-2025,Chatbot,22,43,5,App crash,13
T0382,14-01-2025,Chatbot,24,54,5,Payment problem,11
T0383,17-03-2025,LiveAgent,13,70,5,Ride cancellation,9
T0384,28-03-2025,LiveAgent,12,92,3,Account access,10
T0385,15-01-2025,Chatbot,26,132,4,Lost item,11
T0386,07-03-2025,LiveAgent,6,111,2,App crash,10
T0387,01-02-2025,LiveAgent,21,25,2,Account access,12
T0388,28-03-2025,Chatbot,4,75,5,Driver issue,10
T0389,04-03-2025,LiveAgent,19,177,3,App crash,14
T0390,27-03-2025,LiveAgent,16,154,4,Account access,15
T0391,20-02-2025,Chatbot,13,128,5,Driver issue,15
T0392,25-01-2025,Chatbot,4,171,5,App crash,10
T0393,27-02-2025,Chatbot,23,133,5,Driver issue,15
T0394,04-03-2025,Chatbot,17,153,3,Driver issue,14
T0395,03-03-2025,Chatbot,23,111,1,App crash,23
T0396,22-01-2025,LiveAgent,1,75,4,App crash,8
T0397,27-02-2025,Chatbot,18,22,2,Driver issue,15
T0398,27-02-2025,Chatbot,20,120,1,Ride cancellation,15
T0399,27-03-2025,LiveAgent,17,168,4,App crash,15
T0400,18-02-2025,LiveAgent,27,43,5,Account access,10
T0401,21-02-2025,Chatbot,28,48,4,Payment problem,13
T0402,11-02-2025,Chatbot,27,145,3,Lost item,10
T0403,11-03-2025,Chatbot,15,129,4,Driver issue,11
T0404,15-01-2025,LiveAgent,11,135,3,Driver issue,11
T0405,23-02-2025,Chatbot,25,64,1,Lost item,12
T0406,01-03-2025,Chatbot,28,36,5,Ride cancellation,13
T0407,08-01-2025,LiveAgent,22,127,4,Lost item,15
T0408,22-02-2025,Chatbot,13,62,5,App crash,12
T0409,01-03-2025,LiveAgent,1,48,1,Lost item,13
T0410,05-01-2025,LiveAgent,17,74,5,Driver issue,13
T0411,09-03-2025,Chatbot,6,154,4,Lost item,6
T0412,06-01-2025,LiveAgent,4,167,4,Payment problem,12
T0413,16-02-2025,Chatbot,20,22,4,Account access,13
T0414,24-02-2025,LiveAgent,16,30,5,App crash,8
T0415,09-02-2025,Chatbot,15,156,4,Lost item,9
T0416,21-02-2025,LiveAgent,27,62,4,Driver issue,13
T0417,16-01-2025,Chatbot,15,28,5,Account access,13
T0418,13-01-2025,LiveAgent,6,66,5,App crash,11
T0419,30-01-2025,LiveAgent,15,34,4,Driver issue,10
T0420,19-01-2025,Chatbot,14,40,4,Ride cancellation,15
T0421,17-01-2025,LiveAgent,28,90,4,Payment problem,16
T0422,04-03-2025,Chatbot,11,32,3,Ride cancellation,14
T0423,19-01-2025,Chatbot,7,41,4,Payment problem,15
T0424,27-02-2025,Chatbot,9,83,5,Lost item,15
T0425,24-02-2025,Chatbot,26,19,5,App crash,8
T0426,31-03-2025,Chatbot,16,63,3,Lost item,21
T0427,31-03-2025,LiveAgent,5,61,4,Payment problem,21
T0428,03-03-2025,Chatbot,25,157,3,Payment problem,23
T0429,23-01-2025,LiveAgent,20,169,5,Payment problem,14
T0430,09-01-2025,Chatbot,29,123,5,Account access,13
T0431,12-01-2025,LiveAgent,10,23,4,Driver issue,14
T0432,01-01-2025,LiveAgent,18,165,5,App crash,18
T0433,27-02-2025,Chatbot,3,119,4,Lost item,15
T0434,01-01-2025,LiveAgent,13,62,4,Lost item,18
T0435,03-02-2025,Chatbot,11,161,2,Ride cancellation,11
T0436,17-02-2025,LiveAgent,17,88,4,Payment problem,11
T0437,30-03-2025,Chatbot,22,31,4,Payment problem,14
T0438,01-01-2025,LiveAgent,13,39,4,Payment problem,18
T0439,16-01-2025,Chatbot,6,13,4,Lost item,13
T0440,02-03-2025,Chatbot,17,68,5,Ride cancellation,12
T0441,05-03-2025,LiveAgent,27,17,3,Driver issue,13
T0442,04-03-2025,Chatbot,13,21,4,Account access,14
T0443,10-03-2025,Chatbot,19,128,4,App crash,13
T0444,22-01-2025,Chatbot,21,168,4,Driver issue,8
T0445,08-03-2025,Chatbot,19,43,4,Lost item,10
T0446,17-03-2025,Chatbot,10,91,3,Account access,9
T0447,26-01-2025,Chatbot,3,107,3,Account access,12
T0448,16-01-2025,Chatbot,14,136,4,Account access,13
T0449,20-02-2025,Chatbot,26,84,4,Payment problem,15
